# thruster table: 0=Hover_FL; 1=Roof_FL; 2=Hover_FR; 3=Roof_FR; 4=Hover_RL; 5=Roof_RL; 6=Hover_RR; 7=Roof_RR; 8=Main_Rear; 9=Brake_Front; 10=Strafe_Front_Left; 11=Strafe_Back_Left; 12=Strafe_Front_Right; 13=Strafe_Back_Right
sample,time_s,thruster,reqThrottle,finalThrottle,appliedThrottle,forceN,reqPower,grantedPower,power01,ceiling,saturated,mountDirX,mountDirY,mountDirZ,targetDirX,targetDirY,targetDirZ,forceDirX,forceDirY,forceDirZ,gimbalAngle_deg
2,0.0214,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0200,0.9928,0.1185,-0.0200,0.9928,0.1185,-0.0200,0.00
2,0.0214,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0200,-0.9928,-0.1185,0.0200,-0.9928,-0.1185,0.0200,0.00
2,0.0214,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0200,-0.9928,-0.1185,0.0200,-0.9928,-0.1185,0.0200,0.00
4,0.0414,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
4,0.0414,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
4,0.0414,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
4,0.0414,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
4,0.0414,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
4,0.0414,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
4,0.0414,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
4,0.0414,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
4,0.0414,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0195,0.0058,0.9998,0.0195,0.0058,0.9998,0.0195,0.0058,0.9998,0.00
4,0.0414,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0195,-0.0058,-0.9998,-0.0195,-0.0058,-0.9998,-0.0195,-0.0058,-0.9998,0.00
4,0.0414,10,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.00
4,0.0414,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.00
4,0.0414,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,0.00
4,0.0414,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,0.00
6,0.0614,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
6,0.0614,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
6,0.0614,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
6,0.0614,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
6,0.0614,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
