sample,time_s,steerRaw,steerDemand,steerSens,cornerCap,fl,fr,bl,br,yawDampCoeff,gripApplied,gripReqLat,gripAppLat,gripReqLong,gripAppLong,gripClamp01,gripBreak01,slip_deg,stabArmed,avgHoverCmd,avgRoofCmd,pHoverReq,pHoverGr,pDriveReq,pDriveGr,pVecReq,pVecGr,pStabReq,pStabGr,pOcReq,pOcGr,mainThrottle,brakeThrottle
0,0.001,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.16,1.16,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
8,0.081,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.16,1.16,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
16,0.161,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.16,1.16,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
24,0.241,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.11,1.11,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
32,0.321,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.06,1.06,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
40,0.401,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.09,1.09,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
48,0.481,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.11,1.11,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
56,0.561,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.12,1.12,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
64,0.641,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.13,1.13,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
72,0.721,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.14,1.14,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
80,0.801,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.16,1.16,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
88,0.881,-0.040,-0.112,0.240,0.900,0.000,0.027,0.027,0.000,3.200,1,1.22,1.22,0.05,0.05,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,13.4,13.4,0.0,0.0,0.0,0.0,0.000,0.000
96,0.961,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.29,1.29,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
104,1.041,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.23,1.23,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
112,1.121,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.21,1.21,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
120,1.201,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.20,1.20,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
128,1.281,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.20,1.20,0.04,0.04,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
136,1.361,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.19,1.19,0.00,0.00,1.000,0.000,0.00,1,0.000,0.000,0.0,0.0,151.2,151.2,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.000
144,1.441,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.21,1.21,0.00,0.00,1.000,0.000,8.88,1,0.000,0.000,0.0,0.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.000
152,1.521,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.19,1.19,0.00,0.00,1.000,0.000,3.51,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
160,1.601,0.040,0.112,0.240,0.900,0.027,0.000,0.000,0.027,3.200,1,1.14,1.14,0.00,0.00,1.000,0.000,1.96,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
168,1.681,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.15,1.15,0.00,0.00,1.000,0.000,1.39,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
176,1.761,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.12,1.12,0.00,0.00,1.000,0.000,1.05,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
184,1.841,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.21,1.21,0.00,0.00,1.000,0.000,0.93,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
192,1.921,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.28,1.28,0.00,0.00,1.000,0.000,0.82,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
200,2.001,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.11,1.11,0.00,0.00,1.000,0.000,0.62,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
208,2.081,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.16,1.16,0.00,0.00,1.000,0.000,0.57,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
216,2.161,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.05,1.05,0.00,0.00,1.000,0.000,0.46,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
224,2.241,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.00,1.00,0.00,0.00,1.000,0.000,0.40,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
232,2.321,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.23,1.23,0.00,0.00,1.000,0.000,0.45,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
240,2.401,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.44,1.44,0.00,0.00,1.000,0.000,0.48,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
248,2.481,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.22,1.22,0.00,0.00,1.000,0.000,0.38,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
256,2.561,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.23,1.23,0.00,0.00,1.000,0.000,0.35,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
264,2.641,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.25,1.25,0.00,0.00,1.000,0.000,0.34,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
272,2.721,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.97,0.97,0.00,0.00,1.000,0.000,0.25,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
280,2.801,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.84,0.84,0.00,0.00,1.000,0.000,0.20,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
288,2.881,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.93,0.93,0.00,0.00,1.000,0.000,0.21,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
296,2.961,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.87,0.87,0.00,0.00,1.000,0.000,0.19,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
304,3.041,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.93,0.93,0.00,0.00,1.000,0.000,0.19,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
312,3.121,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.93,0.93,0.00,0.00,1.000,0.000,0.18,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
320,3.201,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.86,0.86,0.00,0.00,1.000,0.000,0.16,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
328,3.281,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.43,1.43,0.00,0.00,1.000,0.000,0.26,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
336,3.361,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.80,1.80,0.00,0.00,1.000,0.000,0.31,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
344,3.441,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.82,1.82,0.00,0.00,1.000,0.000,0.30,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
352,3.521,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,1.75,1.75,0.00,0.00,1.000,0.000,0.28,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
360,3.601,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,3.44,3.44,0.00,0.00,1.000,0.000,0.53,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
368,3.681,0.040,0.112,0.240,0.900,0.027,0.000,0.000,0.027,3.200,1,6.34,6.34,0.00,0.00,1.000,0.000,0.95,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
376,3.761,0.320,0.896,0.240,0.900,0.215,0.000,0.000,0.215,3.200,1,9.91,9.91,0.00,0.00,1.000,0.000,1.43,1,0.000,0.000,0.0,0.0,480.0,480.0,107.5,107.5,0.0,0.0,0.0,0.0,1.000,0.000
384,3.841,0.240,0.672,0.240,0.900,0.161,0.000,0.000,0.161,3.200,1,19.01,19.01,0.00,0.00,1.000,0.000,2.66,1,0.000,0.000,0.0,0.0,480.0,480.0,80.6,80.6,0.0,0.0,0.0,0.0,1.000,0.000
392,3.921,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,27.21,27.21,0.00,0.00,1.000,0.000,3.70,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
400,4.001,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,28.68,28.68,0.00,0.00,1.000,0.000,3.79,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
408,4.081,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,26.37,26.37,0.00,0.00,1.000,0.000,3.39,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
416,4.161,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,22.53,22.53,0.00,0.00,1.000,0.000,2.82,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
424,4.241,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,19.29,19.29,0.00,0.00,1.000,0.000,2.35,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
432,4.321,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,15.71,15.71,0.00,0.00,1.000,0.000,1.87,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
440,4.401,-0.080,-0.224,0.240,0.900,0.000,0.054,0.054,0.000,3.200,1,10.86,10.86,0.00,0.00,1.000,0.000,1.26,1,0.000,0.000,0.0,0.0,480.0,480.0,26.9,26.9,0.0,0.0,0.0,0.0,1.000,0.000
448,4.481,-0.120,-0.336,0.240,0.900,0.000,0.081,0.081,0.000,3.200,1,4.04,4.04,0.00,0.00,1.000,0.000,0.46,1,0.000,0.000,0.0,0.0,480.0,480.0,40.3,40.3,0.0,0.0,0.0,0.0,1.000,0.000
456,4.561,-0.080,-0.224,0.240,0.900,0.000,0.054,0.054,0.000,3.200,1,-4.92,-4.92,0.00,0.00,1.000,0.000,0.54,1,0.000,0.000,0.0,0.0,480.0,480.0,26.9,26.9,0.0,0.0,0.0,0.0,1.000,0.000
464,4.641,-0.040,-0.112,0.240,0.900,0.000,0.027,0.027,0.000,3.200,1,-11.64,-11.64,0.00,0.00,1.000,0.000,1.26,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
472,4.721,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-16.96,-16.96,0.00,0.00,1.000,0.000,1.79,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
480,4.801,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-18.57,-18.57,0.00,0.00,1.000,0.000,1.92,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
488,4.881,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-17.04,-17.04,0.00,0.00,1.000,0.000,1.72,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
496,4.961,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-13.89,-13.89,0.00,0.00,1.000,0.000,1.37,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
504,5.041,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-11.22,-11.22,0.00,0.00,1.000,0.000,1.09,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
512,5.121,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-8.41,-8.41,0.00,0.00,1.000,0.000,0.80,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
520,5.201,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-6.41,-6.41,0.00,0.00,1.000,0.000,0.60,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
528,5.281,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-4.76,-4.76,0.00,0.00,1.000,0.000,0.44,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
536,5.361,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-4.15,-4.15,0.00,0.00,1.000,0.000,0.37,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
544,5.441,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-3.16,-3.16,0.00,0.00,1.000,0.000,0.28,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
552,5.521,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-2.70,-2.70,0.00,0.00,1.000,0.000,0.23,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
560,5.601,-0.120,-0.336,0.240,0.900,0.000,0.081,0.081,0.000,3.200,1,-5.18,-5.18,0.00,0.00,1.000,0.000,0.44,1,0.000,0.000,0.0,0.0,480.0,480.0,40.3,40.3,0.0,0.0,0.0,0.0,1.000,0.000
568,5.681,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-10.48,-10.48,0.00,0.00,1.000,0.000,0.88,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
576,5.761,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-15.94,-15.94,0.00,0.00,1.000,0.000,1.31,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
584,5.841,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-17.56,-17.56,0.00,0.00,1.000,0.000,1.42,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
592,5.921,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-16.03,-16.03,0.00,0.00,1.000,0.000,1.28,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
600,6.001,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-13.77,-13.77,0.00,0.00,1.000,0.000,1.08,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
608,6.081,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-11.86,-11.86,0.00,0.00,1.000,0.000,0.92,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
616,6.161,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-9.67,-9.67,0.00,0.00,1.000,0.000,0.74,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
624,6.241,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-7.70,-7.70,0.00,0.00,1.000,0.000,0.58,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
632,6.321,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-6.27,-6.27,0.00,0.00,1.000,0.000,0.46,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
640,6.401,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-4.31,-4.31,0.00,0.00,1.000,0.000,0.31,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
648,6.481,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-2.42,-2.42,0.00,0.00,1.000,0.000,0.17,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
656,6.561,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-1.26,-1.26,0.00,0.00,1.000,0.000,0.09,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
664,6.641,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-1.09,-1.09,0.00,0.00,1.000,0.000,0.08,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
672,6.721,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,0.53,0.53,0.00,0.00,1.000,0.000,0.04,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
680,6.801,0.120,0.336,0.240,0.900,0.081,0.000,0.000,0.081,3.200,1,4.69,4.69,0.00,0.00,1.000,0.000,0.32,1,0.000,0.000,0.0,0.0,480.0,480.0,40.3,40.3,0.0,0.0,0.0,0.0,1.000,0.000
688,6.881,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,14.47,14.47,0.00,0.00,1.000,0.000,0.97,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
696,6.961,0.040,0.112,0.240,0.900,0.027,0.000,0.000,0.027,3.200,1,18.26,18.26,0.00,0.00,1.000,0.000,1.21,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
704,7.041,0.040,0.112,0.240,0.900,0.027,0.000,0.000,0.027,3.200,1,18.47,18.47,0.00,0.00,1.000,0.000,1.21,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
712,7.121,0.040,0.112,0.240,0.900,0.027,0.000,0.000,0.027,3.200,1,23.78,23.78,0.00,0.00,1.000,0.000,1.54,1,0.000,0.000,0.0,0.0,480.0,480.0,13.4,13.4,0.0,0.0,0.0,0.0,1.000,0.000
720,7.201,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
728,7.281,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
736,7.361,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
744,7.441,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
752,7.521,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
760,7.601,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
768,7.681,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
776,7.761,-0.040,-0.112,0.240,0.900,0.000,0.027,0.027,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,336.0,336.0,13.4,13.4,0.0,0.0,0.0,0.0,0.700,0.000
784,7.841,-0.040,-0.112,0.240,0.900,0.000,0.027,0.027,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,144.0,144.0,13.4,13.4,0.0,0.0,0.0,0.0,0.300,0.000
792,7.921,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000
800,8.001,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,172.8,172.8,0.0,0.0,0.0,0.0,0.0,0.0,0.360,0.000
808,8.081,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,345.6,345.6,0.0,0.0,0.0,0.0,0.0,0.0,0.720,0.000
816,8.161,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
824,8.241,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-50.13,-50.13,0.00,0.00,1.000,0.000,2.84,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
832,8.321,0.000,0.000,0.240,0.900,0.000,0.000,0.000,0.000,3.200,1,-36.48,-36.48,0.00,0.00,1.000,0.000,2.05,1,0.000,0.000,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000
